gender,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,Contract,PaymentMethod,TotalCharges,Churn
Male,No,No,51,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Bank transfer (automatic),4085.75,No
Female,Yes,No,22,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Month-to-month,Electronic check,1742.75,Yes
Male,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),6224.8,No
Male,Yes,Yes,37,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,Electronic check,3415.25,No
Male,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Electronic check,6325.25,No
Male,Yes,Yes,7,Yes,No,DSL,No,No,Yes,No,No,Month-to-month,Electronic check,340.25,Yes
Female,No,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),1683.6,No
Male,Yes,Yes,51,Yes,No,DSL,Yes,No,No,Yes,Yes,One year,Bank transfer (automatic),3966.3,No
Female,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),608.5,No
Female,No,No,34,Yes,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Electronic check,2896.6,No
Male,Yes,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,1514.85,No
Male,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,One year,Bank transfer (automatic),6792.45,No
Male,No,No,47,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Month-to-month,Mailed check,4669.2,No
Female,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,Yes,Month-to-month,Electronic check,95.6,Yes
Female,No,No,49,Yes,Yes,DSL,Yes,Yes,No,No,No,Month-to-month,Credit card (automatic),2934.3,Yes
Female,Yes,Yes,67,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Two year,Credit card (automatic),6302.8,No
Male,No,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),779.2,No
Male,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,283.75,No
Female,No,No,43,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Month-to-month,Credit card (automatic),4600.7,Yes
Male,No,No,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Electronic check,5594,No
Female,No,No,14,Yes,No,DSL,No,No,No,Yes,No,One year,Credit card (automatic),772.85,No
Female,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,71.35,Yes
Male,Yes,Yes,16,Yes,No,DSL,Yes,Yes,No,No,No,One year,Mailed check,857.8,No
Male,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Month-to-month,Electronic check,7554.05,No
Male,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Two year,Credit card (automatic),5981.65,No
Female,Yes,Yes,23,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,Credit card (automatic),1702.9,No
Male,No,Yes,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,467.15,No
Female,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,20.15,Yes
Male,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Bank transfer (automatic),69.75,Yes
Female,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Electronic check,2931,Yes
Male,Yes,Yes,17,Yes,No,Fiber optic,No,No,No,No,Yes,Month-to-month,Electronic check,1400.85,Yes
Female,No,No,4,No,No phone service,DSL,Yes,Yes,No,No,No,Month-to-month,Electronic check,137.85,Yes
Female,No,No,36,Yes,Yes,DSL,No,No,Yes,No,No,One year,Electronic check,1941.5,No
Female,No,No,50,No,No phone service,DSL,No,Yes,Yes,Yes,No,Two year,Credit card (automatic),1932.75,No
Female,Yes,Yes,48,No,No phone service,DSL,No,No,No,Yes,No,Month-to-month,Credit card (automatic),1423.05,No
Female,No,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),970.85,No
Male,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Two year,Credit card (automatic),5810.9,No
Male,No,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Credit card (automatic),223.9,No
Female,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,391.7,No
Male,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Month-to-month,Electronic check,79.95,Yes
Female,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,19.3,Yes
Male,No,No,9,Yes,No,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Electronic check,811.65,No
Male,No,No,2,Yes,Yes,Fiber optic,Yes,No,No,No,No,Month-to-month,Mailed check,174.75,No
Female,Yes,No,40,Yes,Yes,Fiber optic,No,No,No,Yes,No,Month-to-month,Credit card (automatic),3126.85,No
Male,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,One year,Bank transfer (automatic),6841.45,No
Female,Yes,No,37,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,One year,Electronic check,3754.6,Yes
Male,No,Yes,18,Yes,Yes,Fiber optic,No,No,Yes,No,No,Month-to-month,Credit card (automatic),1406.65,No
Male,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,834.7,No
Female,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Credit card (automatic),627.4,Yes
Female,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,242,Yes
Male,Yes,Yes,55,Yes,No,DSL,Yes,No,No,No,No,One year,Credit card (automatic),3157,No
Male,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Electronic check,3092,No
Female,No,No,46,Yes,No,DSL,No,No,No,No,No,Month-to-month,Bank transfer (automatic),2168.9,No
Male,No,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),980.35,No
Female,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,65.95,No
Male,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,711.9,No
Female,No,No,33,Yes,Yes,DSL,Yes,No,No,Yes,No,One year,Electronic check,1952.8,No
Male,Yes,Yes,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,One year,Credit card (automatic),4368.85,No
Male,No,No,40,Yes,No,DSL,Yes,Yes,No,Yes,No,Month-to-month,Mailed check,2647.1,No
Female,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Two year,Electronic check,8477.6,No
Male,No,No,1,Yes,Yes,DSL,No,No,Yes,No,No,Month-to-month,Electronic check,54.35,Yes
Female,Yes,Yes,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),4528,No
Female,Yes,Yes,22,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,1790.65,No
Male,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),845.6,No
Female,Yes,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,1210.3,No
Male,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,20.45,No
Female,No,No,12,Yes,Yes,DSL,No,No,No,Yes,Yes,One year,Mailed check,854.45,No
Male,No,No,31,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Electronic check,2429.1,No
Male,Yes,No,5,No,No phone service,DSL,No,No,No,No,No,Month-to-month,Electronic check,100.4,Yes
Female,Yes,Yes,67,Yes,Yes,DSL,Yes,No,No,No,Yes,Two year,Electronic check,5229.45,No
Male,No,No,1,Yes,No,DSL,No,No,No,No,No,Month-to-month,Mailed check,44.45,No
Male,Yes,No,40,No,No phone service,DSL,Yes,Yes,Yes,No,No,One year,Electronic check,1716.45,Yes
Male,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Month-to-month,Credit card (automatic),3023.55,No
Male,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,75.3,Yes
Male,No,No,51,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,One year,Electronic check,4837.6,Yes
Male,Yes,Yes,42,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Two year,Credit card (automatic),2032.3,No
Male,Yes,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,436.9,No
Female,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,70.55,Yes
Female,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,20.15,No
Female,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Month-to-month,Credit card (automatic),5893.95,No
Male,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Electronic check,1430.05,No
Male,Yes,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),313,No
Female,Yes,Yes,54,Yes,No,DSL,Yes,No,Yes,Yes,No,Two year,Bank transfer (automatic),3871.85,No
Female,No,No,7,Yes,No,DSL,No,No,No,No,Yes,Month-to-month,Electronic check,458.1,No
Female,Yes,Yes,33,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Credit card (automatic),2745.7,Yes
Male,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,341.35,No
Female,No,Yes,21,Yes,No,DSL,Yes,No,Yes,No,No,One year,Mailed check,1336.8,No
Male,Yes,No,30,Yes,Yes,DSL,No,No,Yes,No,Yes,Two year,Electronic check,2181.75,No
Male,No,No,3,Yes,No,DSL,No,No,No,Yes,No,Month-to-month,Mailed check,147.75,No
Male,No,No,11,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,Electronic check,818.45,No
Female,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,One year,Credit card (automatic),7133.45,No
Male,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,348.8,No
Male,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,128.6,No
Female,No,No,46,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,One year,Electronic check,4674.4,No
Male,No,No,21,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,1737.45,No
Male,No,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),1498.85,No
Female,No,No,1,Yes,Yes,DSL,No,No,No,No,No,Month-to-month,Electronic check,50.1,No
Female,Yes,No,25,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,Electronic check,1797.75,No
Female,No,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,498.1,No
Female,Yes,No,30,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,2624.25,Yes
Female,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,184.1,Yes
Male,Yes,No,51,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,One year,Bank transfer (automatic),5498.8,No
Female,Yes,Yes,57,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Two year,Electronic check,4845.4,No
Female,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),369.1,No
Female,Yes,Yes,72,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),6096.9,No
Female,No,No,2,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,Electronic check,160.75,Yes
Male,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,Credit card (automatic),2684.35,No
Male,Yes,No,29,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Electronic check,3004.15,Yes
Male,Yes,Yes,70,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),6994.8,No
Female,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,273.25,No
Female,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,One year,Electronic check,5483.9,No
Male,Yes,No,13,Yes,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Electronic check,1233.65,Yes
Male,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Mailed check,527.9,Yes
Female,Yes,No,62,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Two year,Mailed check,4985.9,No
Female,No,No,21,Yes,No,DSL,Yes,No,Yes,Yes,No,One year,Electronic check,1258.35,No
Female,No,No,2,Yes,No,DSL,No,No,Yes,No,No,Month-to-month,Electronic check,111.4,No
Female,No,No,1,Yes,No,DSL,No,No,No,No,No,Month-to-month,Credit card (automatic),43.95,No
Male,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,Electronic check,308.1,No
Female,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),383.65,No
Female,No,No,30,Yes,No,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Electronic check,2555.9,Yes
Male,Yes,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),1284.2,No
Male,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Two year,Credit card (automatic),7550.3,No
Male,Yes,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),1110.05,No
Female,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Electronic check,99.6,No
Male,Yes,No,71,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Two year,Credit card (automatic),6707.15,No
Female,Yes,Yes,50,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,One year,Credit card (automatic),4164.4,No
Male,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Two year,Electronic check,5873.75,No
Male,No,No,2,Yes,No,DSL,No,No,No,Yes,No,Month-to-month,Credit card (automatic),109.25,No
Female,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,Month-to-month,Electronic check,179.25,Yes
Male,Yes,Yes,24,Yes,Yes,DSL,Yes,No,No,No,No,Month-to-month,Electronic check,1338.15,Yes
Male,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),862.4,No
Male,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Two year,Electronic check,8564.75,No
Female,No,No,29,No,No phone service,DSL,No,No,No,Yes,No,Month-to-month,Electronic check,926.2,No
Male,Yes,Yes,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),1718.2,No
Male,Yes,No,71,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),5956.85,No
Female,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Month-to-month,Electronic check,91.3,Yes
Male,Yes,No,56,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),4824.45,No
Male,No,Yes,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,1238.65,No
Male,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Month-to-month,Electronic check,79.5,Yes
Female,Yes,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,672.2,No
Female,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,382.2,No
Male,Yes,No,66,Yes,Yes,DSL,No,No,No,Yes,No,Month-to-month,Electronic check,4264.6,No
Female,Yes,Yes,17,Yes,Yes,DSL,No,No,Yes,Yes,No,One year,Mailed check,1070.7,No
Male,Yes,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,1345.85,No
Female,No,No,19,Yes,No,DSL,No,Yes,No,No,Yes,One year,Electronic check,1045.25,No
Female,No,No,36,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,One year,Bank transfer (automatic),3003.55,No
Male,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Mailed check,467.55,Yes
Male,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,One year,Credit card (automatic),7537.5,No
Male,Yes,Yes,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,One year,Electronic check,7482.1,Yes
Male,No,No,34,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,One year,Electronic check,3343.15,No
Male,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Bank transfer (automatic),5427.05,Yes
Female,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Electronic check,587.1,Yes
Female,Yes,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Electronic check,100.8,Yes
Male,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),161.15,No
Female,No,No,69,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Two year,Electronic check,7028.5,No
Female,Yes,No,50,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,One year,Mailed check,5232.9,No
Male,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,225.85,No
Female,Yes,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),274.7,No
Female,No,No,14,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,Electronic check,1180.95,Yes
Female,Yes,No,70,No,No phone service,DSL,Yes,No,Yes,Yes,No,Two year,Bank transfer (automatic),3370.2,No
Female,No,No,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Month-to-month,Bank transfer (automatic),7111.3,No
Female,Yes,Yes,66,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),5958.85,No
Female,Yes,Yes,71,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Two year,Credit card (automatic),5999.85,No
Male,No,No,20,Yes,No,Fiber optic,No,No,No,No,Yes,Month-to-month,Electronic check,1648.45,No
Male,Yes,No,72,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Two year,Bank transfer (automatic),5753.25,No
Female,Yes,Yes,71,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Two year,Credit card (automatic),4492.9,No
Male,Yes,Yes,38,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Credit card (automatic),3956.7,No
Female,No,No,28,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Electronic check,2625.55,Yes
Male,Yes,No,17,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,Electronic check,1233.4,Yes
Male,No,No,33,No,No phone service,DSL,No,Yes,No,No,Yes,One year,Electronic check,1309,No
Female,Yes,Yes,23,No,No phone service,DSL,Yes,No,No,Yes,No,Two year,Mailed check,813.45,No
Male,Yes,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Electronic check,1108.8,No
Female,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Two year,Bank transfer (automatic),7349.35,No
Male,Yes,No,4,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,294.2,No
Male,Yes,Yes,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,929.2,No
Male,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,740,Yes
Male,Yes,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),754.5,No
Male,No,No,54,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Month-to-month,Mailed check,3883.3,No
Male,Yes,Yes,23,Yes,Yes,DSL,No,Yes,No,Yes,No,Two year,Mailed check,1414.2,No
Female,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,One year,Credit card (automatic),3211.2,No
Male,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Mailed check,371.6,No
Male,Yes,Yes,27,No,No phone service,DSL,No,Yes,Yes,No,No,One year,Credit card (automatic),1246.4,No
Female,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Electronic check,95.85,No
Female,Yes,Yes,67,No,No phone service,DSL,Yes,No,No,Yes,No,Two year,Credit card (automatic),2545.7,No
Female,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),6448.85,No
Female,Yes,Yes,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),1468.9,No
Male,Yes,Yes,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Electronic check,1013.6,No
Female,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Electronic check,6690.75,No
Female,No,No,34,Yes,Yes,DSL,Yes,Yes,No,Yes,No,One year,Mailed check,2088.75,Yes
Female,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Two year,Bank transfer (automatic),7240.65,No
Female,Yes,Yes,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Month-to-month,Electronic check,102.45,Yes
Female,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),830.25,No
Male,Yes,Yes,30,Yes,Yes,DSL,Yes,No,No,No,No,Month-to-month,Bank transfer (automatic),1588.7,No
Female,No,No,11,Yes,No,DSL,No,No,No,Yes,Yes,Month-to-month,Mailed check,829.3,No
Female,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),302.45,No
Male,No,No,11,Yes,No,DSL,No,No,Yes,No,Yes,Month-to-month,Electronic check,712.25,No
Female,Yes,Yes,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),1336.65,No
Male,Yes,No,72,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),5360.75,No
Male,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Two year,Bank transfer (automatic),6735.05,No
Female,No,Yes,1,Yes,No,DSL,Yes,No,No,No,No,Month-to-month,Mailed check,51.2,No
Female,No,Yes,15,Yes,No,DSL,Yes,Yes,Yes,Yes,No,One year,Credit card (automatic),1010,No
Female,No,No,60,Yes,Yes,DSL,No,No,Yes,Yes,Yes,One year,Credit card (automatic),4847.05,No
Male,No,No,56,Yes,No,DSL,Yes,No,Yes,No,No,One year,Mailed check,3019.7,No
Female,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,161.65,No
Female,No,No,3,Yes,No,Fiber optic,No,No,Yes,Yes,No,Month-to-month,Credit card (automatic),217.55,Yes
Female,Yes,No,49,Yes,Yes,DSL,No,No,No,No,No,Month-to-month,Credit card (automatic),2583.75,No
Female,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Month-to-month,Electronic check,146.05,Yes
Female,No,No,6,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Month-to-month,Bank transfer (automatic),567.45,Yes
Male,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),7711.25,No
Male,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,Mailed check,1384.75,Yes
Male,Yes,No,52,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,One year,Bank transfer (automatic),5481.25,No
Female,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),8124.2,No
Female,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),827.3,No
Female,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Mailed check,70.9,Yes
Female,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Electronic check,220.95,Yes
Female,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,Month-to-month,Electronic check,3673.6,No
Male,No,Yes,1,Yes,No,DSL,No,No,Yes,No,No,Month-to-month,Electronic check,49.85,No
Male,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),576.65,No
Male,Yes,Yes,23,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Month-to-month,Electronic check,2331.3,Yes
Male,Yes,Yes,1,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Electronic check,74.5,Yes
Female,Yes,No,44,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Month-to-month,Electronic check,4495.65,No
Male,No,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,Electronic check,6941.2,Yes
Female,No,No,7,Yes,No,DSL,Yes,No,No,No,No,Month-to-month,Electronic check,340.35,No
Male,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),1789.9,No
Female,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Credit card (automatic),908.55,No
Female,No,No,16,Yes,Yes,DSL,No,No,Yes,No,No,Month-to-month,Credit card (automatic),1043.35,Yes
Male,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Credit card (automatic),6822.15,Yes
Male,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Mailed check,71.55,Yes
Male,No,Yes,3,Yes,No,DSL,Yes,No,Yes,No,No,Month-to-month,Mailed check,157.55,No
Male,Yes,No,53,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Month-to-month,Electronic check,5029.2,Yes
Male,Yes,No,8,Yes,No,DSL,No,No,Yes,Yes,No,Month-to-month,Credit card (automatic),581.7,No
Male,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),7318.2,Yes
Female,No,No,5,Yes,No,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Mailed check,420.45,No
Female,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Two year,Mailed check,7576.7,No
